index,symbol,date,field,method,repaired_value,confidence,note
2781,FUT6,2024-01-24 00:00:00,High,local_outlier_backward_absolute_threshold+local_median+impossible_jump,93.925,medium,"Old value: 3403.56, used 5 past neighbors"
2791,FUT6,2024-01-25 00:00:00,High,local_outlier_backward_impossible_jump,93.82499999999999,medium,"Old value: 95.60, used 4 past neighbors"
3153,FUT6,2024-03-14 00:00:00,High,local_outlier_backward_absolute_threshold+local_median+impossible_jump,86.125,medium,"Old value: 4603.63, used 5 past neighbors"
3164,FUT6,2024-03-15 00:00:00,High,local_outlier_backward_impossible_jump,86.2375,medium,"Old value: 86.28, used 4 past neighbors"
3519,FUT6,2024-05-02 00:00:00,High,local_outlier_backward_absolute_threshold+local_median+impossible_jump,77.625,medium,"Old value: 3290.99, used 5 past neighbors"
3530,FUT6,2024-05-03 00:00:00,High,local_outlier_backward_impossible_jump,77.4875,medium,"Old value: 76.85, used 4 past neighbors"
4126,FUT6,2024-07-26 00:00:00,High,local_outlier_backward_absolute_threshold+local_median+impossible_jump,84.05,medium,"Old value: 85575.00, used 5 past neighbors"
4137,FUT6,2024-07-29 00:00:00,High,local_outlier_backward_absolute_threshold+local_median,84.1625,medium,"Old value: 83700.00, used 4 past neighbors"
4148,FUT6,2024-07-30 00:00:00,High,local_outlier_backward_absolute_threshold+local_median,84.275,medium,"Old value: 83300.00, used 3 past neighbors"
4159,FUT6,2024-07-31 00:00:00,High,local_outlier_backward_absolute_threshold+local_median,84.19999999999999,medium,"Old value: 82900.00, used 2 past neighbors"
4170,FUT6,2024-08-01 00:00:00,High,local_outlier_backward_absolute_threshold+local_median,83.85,medium,"Old value: 83475.00, used 1 past neighbors"
4181,FUT6,2024-08-02 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 82775.00, no clean past neighbors"
4192,FUT6,2024-08-05 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 82250.00, no clean past neighbors"
4203,FUT6,2024-08-06 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 81975.00, no clean past neighbors"
4214,FUT6,2024-08-07 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 82800.00, no clean past neighbors"
4225,FUT6,2024-08-08 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 81875.00, no clean past neighbors"
4236,FUT6,2024-08-09 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 80550.00, no clean past neighbors"
4247,FUT6,2024-08-12 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 80350.00, no clean past neighbors"
4258,FUT6,2024-08-13 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 79725.00, no clean past neighbors"
4269,FUT6,2024-08-14 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 79325.00, no clean past neighbors"
4288,FUT6,2024-08-16 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 89050.00, no clean past neighbors"
4297,FUT6,2024-08-19 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 89950.00, no clean past neighbors"
4306,FUT6,2024-08-20 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 89600.00, no clean past neighbors"
4315,FUT6,2024-08-21 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 90250.00, no clean past neighbors"
4325,FUT6,2024-08-22 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 90625.00, no clean past neighbors"
4334,FUT6,2024-08-23 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 90775.00, no clean past neighbors"
4353,FUT6,2024-08-27 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 90875.00, no clean past neighbors"
4363,FUT6,2024-08-28 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 90925.00, no clean past neighbors"
4373,FUT6,2024-08-29 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 91100.00, no clean past neighbors"
4383,FUT6,2024-08-30 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 91800.00, no clean past neighbors"
4393,FUT6,2024-09-03 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 92450.00, no clean past neighbors"
4403,FUT6,2024-09-04 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 92500.00, no clean past neighbors"
4412,FUT6,2024-09-05 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 92325.00, no clean past neighbors"
4421,FUT6,2024-09-06 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 92.33, no clean past neighbors"
5134,FUT6,2024-12-17 00:00:00,High,local_outlier_backward_absolute_threshold+local_median+impossible_jump,100.225,medium,"Old value: 65436.12, used 5 past neighbors"
5143,FUT6,2024-12-18 00:00:00,High,local_outlier_backward_impossible_jump,100.19999999999999,medium,"Old value: 99.88, used 4 past neighbors"
471,FUT6,2023-03-13 00:00:00,Low,local_outlier_backward_absolute_threshold+local_median+impossible_jump,91.175,medium,"Old value: 9127.50, used 5 past neighbors"
482,FUT6,2023-03-14 00:00:00,Low,local_outlier_backward_absolute_threshold+local_median,91.0625,medium,"Old value: 9090.00, used 4 past neighbors"
493,FUT6,2023-03-15 00:00:00,Low,local_outlier_backward_absolute_threshold+local_median,90.95,medium,"Old value: 8777.50, used 3 past neighbors"
504,FUT6,2023-03-16 00:00:00,Low,local_outlier_backward_absolute_threshold+local_median,90.76249999999999,medium,"Old value: 8802.50, used 2 past neighbors"
515,FUT6,2023-03-17 00:00:00,Low,local_outlier_backward_absolute_threshold+local_median,91.175,medium,"Old value: 8140.00, used 1 past neighbors"
548,FUT6,2023-03-22 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8117.50, no clean past neighbors"
559,FUT6,2023-03-23 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8037.50, no clean past neighbors"
570,FUT6,2023-03-24 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8127.50, no clean past neighbors"
581,FUT6,2023-03-27 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8257.50, no clean past neighbors"
592,FUT6,2023-03-28 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8470.00, no clean past neighbors"
603,FUT6,2023-03-29 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8317.50, no clean past neighbors"
614,FUT6,2023-03-30 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8362.50, no clean past neighbors"
625,FUT6,2023-03-31 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8352.50, no clean past neighbors"
658,FUT6,2023-04-05 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8260.00, no clean past neighbors"
669,FUT6,2023-04-06 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8230.00, no clean past neighbors"
691,FUT6,2023-04-11 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8197.50, no clean past neighbors"
702,FUT6,2023-04-12 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8177.50, no clean past neighbors"
713,FUT6,2023-04-13 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8210.00, no clean past neighbors"
735,FUT6,2023-04-17 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8105.00, no clean past neighbors"
746,FUT6,2023-04-18 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7627.50, no clean past neighbors"
756,FUT6,2023-04-19 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7612.50, no clean past neighbors"
766,FUT6,2023-04-20 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7707.50, no clean past neighbors"
776,FUT6,2023-04-21 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7595.00, no clean past neighbors"
795,FUT6,2023-04-25 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 76.70, no clean past neighbors"
845,FUT6,2023-05-02 00:00:00,Low,local_outlier_backward_absolute_threshold+impossible_jump,77.1375,medium,"Old value: 7837.50, used 2 past neighbors"
856,FUT6,2023-05-03 00:00:00,Low,local_outlier_backward_absolute_threshold,77.1375,medium,"Old value: 7770.00, used 2 past neighbors"
867,FUT6,2023-05-04 00:00:00,Low,local_outlier_backward_absolute_threshold,77.1375,medium,"Old value: 7712.50, used 2 past neighbors"
877,FUT6,2023-05-05 00:00:00,Low,local_outlier_backward_absolute_threshold,77.1375,medium,"Old value: 7475.00, used 2 past neighbors"
887,FUT6,2023-05-08 00:00:00,Low,local_outlier_backward_absolute_threshold,77.575,medium,"Old value: 7442.50, used 1 past neighbors"
897,FUT6,2023-05-09 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7355.00, no clean past neighbors"
907,FUT6,2023-05-10 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7580.00, no clean past neighbors"
917,FUT6,2023-05-11 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7345.00, no clean past neighbors"
927,FUT6,2023-05-12 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7335.00, no clean past neighbors"
937,FUT6,2023-05-15 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7815.00, no clean past neighbors"
949,FUT6,2023-05-16 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8027.50, no clean past neighbors"
961,FUT6,2023-05-17 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7762.50, no clean past neighbors"
