Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest,Date
FUT7,45026.0,78.25,79.45,77.75,79.1,1964.0,16901.0,2023-04-10
FUT1,45027.0,73.0,73.3,72.85,73.125,3726.0,19832.0,2023-04-11
FUT2,45027.0,82.25,82.675,81.75,82.2,247.0,151190.66236980984,2023-04-11
FUT3,45027.0,88.625,89.325,87.325,87.9,16054.0,95346.0,2023-04-11
FUT6,45027.0,8340.0,8362.5,8197.5,8245.0,3258.0,2192903.6620422127,2023-04-11
FUT7,45027.0,79.0,79.225,77.55,78.2,1897.0,17109.0,2023-04-11
FUT8,45027.0,82.725,82.75,81.525,82.075,216.0,7258.0,2023-04-11
FUT9,45027.0,86.475,86.475,85.4,85.9,68.0,1953.0,2023-04-11
FUT1,45028.0,72.975,5096.2395987636455,72.025,72.35,4094.0,19180.0,2023-04-12
FUT11,45028.0,93.675,93.925,93.675,93.925,4.0,120.0,2023-04-12
FUT2,45028.0,82.05,82.5,81.5,81.525,461.0,2895.0,2023-04-12
FUT3,45028.0,87.825,89.125,87.125,87.825,17231.0,95776.0,2023-04-12
FUT5,45028.0,91.75,92.625,90.95,91.525,5062.0,27438.0,2023-04-12
FUT6,45028.0,8255.0,8335.0,8177.500000000001,8210.0,4189.0,30522.0,2023-04-12
FUT9,45028.0,85.9,6974.91372085965,85.475,85.475,11.0,1955.0,2023-04-12
FUT11,45029.0,94.55,94.55,93.5,93.5,20.0,102.0,2023-04-13
FUT3,45029.0,87.0,87.5,85.425,85.5,0.0,0.0,2023-04-13
FUT5,45029.0,90.775,91.25,89.5,89.55,6344.0,27299.0,2023-04-13
FUT7,45029.0,77.35,77.775,75.85,75.925,2932.0,18534.0,2023-04-13
FUT8,45029.0,81.3,81.3,79.6,79.6,609.0,7386.0,2023-04-13
FUT9,45029.0,85.15,85.175,83.75,83.8,193.0,1994.0,2023-04-13
FUT1,45030.0,71.9,5656.003792965635,71.575,71.85,2379.0,16278.0,2023-04-14
